S.no,Reviews
1,If you are ready to pay at least 500 Rs. per month then I would recommend tata sky other wise look for other service provider.
2,Bad service by tatasky
3,Good purchase
4,Ideal for HD TVs.. Does not have any competition near by for it in the market.
5,Best in dth..
6,Excellent service. The product installed within 24 hrs
7,OK ok experience with the DTH
8,Hd experience at low price ..... Quite awesome
9,Shradha Communications - Amazing Service
10, Quick Response
11, 100 % Quality Work
12,Not bad
13,The most cunning service providers.
14,I felt very happy
15, one day delivery and installation also completed
16,LOVED IT. GO FOR IT. Brand with Quality and Imressed with Customer Services
17,Excellent product. 6 star service by TataSky field installation ...
18,Recharge issue.. less customer support
19,Waste of money and they can take your setup box at any time
20,Unprofessional service
21,Awesome service by both Amazon and tata sky
22,Great buy from amazon VFM
23,TATA SKY FANTASTIC SERVICE SUPER CLARITY
24,Good One
25,No hidden charges... just go for it ...
26,One Star
27,Simply the best
28,Up till Excellent
29,Value for Money (I got this for Rs. 1090/-) ...
30,Prompt Installation. Value for Money.
31,Got in the same day delivery and installation
32, Received ...
33,Very nice! Product delivered by installation person
34,Worth to buy :-)
35,Best deal for tatasky set up box.
36,Poor experience.
37,Avg
38,Wrost service
39,Satisfied
40,it is good
41,Not much recommended
42,Very bad experience. been more then a week no installation ...
43,Great to Amazon
44,Too fast too furious
45,these guys are fast and nice. Installed it in 2 days after order
46,Super fast service
47,some packs should come with cheaper rates expensive english packs
48,Excellent product and support
49,Ordered in night 
50,installed in afternoon!
51,Its a good product Tatasky delivered very fast installation finished quality was ...
52,working perfectly
53,HD Setup Box with Universal Remote
54,Three Stars
55,excellent service.
56,Now the DTH seems to be good enough. Clarity is just average
57,Finally
58, it was a good deal
59,Very good product
60, speed delivery and 5 star
61,That was quick!!!
62,Pathetic customer care
63,Ok product
64,Great support from vendor
65,Worth buying...great service...5 stars
66,Best and cheapest
67,Best DTH services experienced so far!!
68,DEFECTIVE ITEM & PROUDY SELLER
69,For quality 5 star For home service installation 3 star ...
70,Awesome. The tata Sky guy came within three hours ...
71,Great Product and seller!
72,Not much satisfied with TATA SKY
73,Value for money
74,the quality is best in this price
75,It is really good.
76,Item good product. Tata sky worst response and some process ...
77,Nice cheapest d2h service. I recommended.
78,Best choice in market
79,Tata sky feed back
80,Highly Recommended.....
81,Got the bill only for my purchase
82, No set ...
83,really Amazing.. no installation charges
84,Very good
85,good product. prompt service
86,Lightning Delivery of Product
87,Happy with TATA Sky...
88,The person came with complete equipment and has did a very good job. The service was very good and no ...
89,Fully satisfied.
90,awesome
91,Excellent deal
92, got within 1 day even in interior ...
93,I love you amazone and tata sky... thanks for the moments...
94,After 5 months usage
95,Average
96,Great classic telecom seller.
97,good picture clarity
98,DTH @ snail s pace.
99,good product from amazing store
100,Overall good
101,The service was very good. Same day installation
102,It's a good product.
103,Five Stars
104,Fast delivery by amazon. installation also free of cost ...
105,Better Price than the Retail Store near our house and ...
106,Bad
107,Bought from DHANAM ENTERPRISE
108, @1500
109,Great service by Amazon and Tata Sky
110,Super server and product
111,Awesome deal. Simply Amazing
112,One Star
113,Good
114,Tatasky scared of local cable operators
115,The box is working fine. Giving quality as expected
116,Thank you Tata sky & Amazon
117,But the Dhamal pack is not completely useful. There should be some English new channel and ...
118,No signal problem
119,Installstion is good. Tats sky hd very good
120,Not satisfies
121,Poor service by tatasky engineer
122,Good Product..
123,Nice Product
124,One Star
125,DTHIndia made my day. Extremely well service from Tata ...
126,Good product in less price.
127,... are very abnormal high as compare to other party like dish tv
128,Bad Experience
129,Excellent service but issue during monsoon
130,Very fast activation.
131,ok
132,Best dish and great price
133,Five Stars
134,... pay it because quality of HD channel is just great.
135,Superb!!!
136,Awsome
137,Great service by Amazon and Tata Sky
138,Got the hassle free installation in a day. No ...
139,Great Service by TATA SKY. KEEP IT  UP
140,the tata sky quality is good but packages are too high
141,really good one
142, one of the best SET TOP box ...
143,Vfm
144,Very good
145,Excellent service
146, got the DTH installed just on second ...
147,Good
148,Tara sky is really worst... Don't buy
149,Average
150,very late delivery
151,TATA SKY HD CONNECTION WAS INSTALLED AND ACTIVATED ON 09-08-2016 ...
152,Best service & HD is very good
153,Good product
154,Four Stars
155,Absolutely fantastic service
156,The set up box is good and got for good price from amazon
157,Not bad
158,Good Product
159,One Star
160,Good
161,Very happy with the product. Thank you Amazon
162,Great
163,but Tata sky is very good. nice and soothing pictures
164,Great delivery in small town
165,Four Stars
166,👍👍👊
167,Good Delivery.. Perfect Installation and 1 month free pack
168,Value for money
169,the installation staff are good. reliable and honest
170,Very Happy
171,Very good product and user freindly
172,Decent Purchase
173,Speedy instalation
174,Excellent. This is my Second Connection
175,Activation issue
176,Excellent what i can say
177,I have lose money this product buy her
178,Great Product
179,No
180,zinga lala...go for it with eyes closed..
181,Bad experience
182,Excellent service
183,Great Amazon  fast and great
184,The installation went fine and the guys who installed also did well
185,Four Stars
186,Cheaper than outside
187,Worst service from Tata Sky ever
188,Awesome Service
189,Amazon service is good as always
190,Four Stars
191,so far so good.
192,Two Stars
193,Uneconomical
194,... installed by a local tata sky technician this is awesome and also it works well but you will have ...
195,The price of TATA sKY was less than the market ...
196,Nice product
197,Superfast installation...
198,Amazing
199,Superb product
200,Brilliant service
201,Very prompt service
202,Five Stars
203,Very good
204, but can they charged in cash 200/- in ...
205,BINDHAST BOOK KARE AMAZON SE
206,BLINDFAITH SERVICE
207,best buy must book online only no hassal
208,Very good Service by Tata Sky
209,Tata sky is the best
210,Fast delivery and install
211,Four Stars
212,great deal go fot it
213,Fantastic product and delivery
214,Superb experience
215,Good
216,awesome service by dthindia
217,I used it for 3 month and rating this. ...
218,Good product.. Working perfectly
219,Four Stars
220,Very quick installion. Completed in less than 24hrs. ...
221,Excellent product
222,Nice Service
223,product stopped working within six months
224,IT IS SO NICE
225,... Access is 175 for all package which is not useful at all for me
226,Nice
227,Gr8 service by Dthindia.... lightening speed ...
228,Great Service by TaTa Sky team and Amazon (Amazing ON)
229,Good product
230,Am proud of your service.....
231,Not good
232,Prefer other dishes rathen then Tatasky
233,Go for it
234,Four Stars
235,amazon good choice
236,GOOD
237,Great
238,One Star
239,Good
240,Extremely Good service
241,Extra Charging.
242,Great product and Service
243,I didnt receive any part to review
244,Best if u buy from Amazon
245,Very Happy
246,Nice Product & Experience
247,HD quality is good
248,TQ
249,Very nice
250,Just go for it. Best bargain.
251,Very Happy
252,Great product
253, prompt ahipping
254, neat and professional installation
255,i am happy
256,Chanceless.....!!!!!!
257,Good
258,Awesome deal @ 1170.
259,Four Stars
260,Easy and fast delivery
261,Nice
262,working perfectly fine.
263,Without any issue got product installed within 3 days
264, ...
265,Best
266,Not better than Dish TV
267,Good
268,Good one
269,Great Deal
270,Hidden charges
271,Bad
272,Better than other service
273,Very good
274,Good service
275,Value for money
276,Nice
277,not recommended for navi mumbai region
278,TATASKY IS THE BEST
279,Best Deal
280,Excellent picture Quality and Sound.
281,Great
282,Nice
283,Very good experience
284,better deal then local DTH service
285,100/100
286,Great
287,Nice
288,Four Stars
289,Tata sky hd
290,Nice
291,Worth
292,Good one
293,Worst product from the seller
294,fast delivery....and installation
295,Good product. Delivery and installation done within 48 hour ...
296,Affortable and awesome
297,Good
298,Really happy from this product
299,This set top box was promptly delivered and installed. ...
300,Thanks amazon
301,Nice
302,Good
303,Review
304,very good
305,Three Stars
306,Fast products  delivery  with reliability
307,Great
308,Tata sky
309,good
310,After installing it life is jhingalala
311, it is true.
312,amazon  is best site.
313,Ok
314,Good price.. Installation is expensive..
315,Four Stars
316,Very good experience
317,Clarify the process
318,exilent service
319,Worth it
320,Good product and value for money
321,Three Stars
322,Good Choice
323,Must try
324,Awesome picture clarity and very good service by DthIndia
325,Advance remot has good feature which do not need TV remote
326,Best one.
327,Three Stars
328,100% very good
329,Three Stars
330,Great
331,Good one
332,Awesome
333, same day installation
334,Great option
335,Very bad sailor
336,Amazing service by DTHIndia & TataSky
337,Tata sky hd set top box is very good picture clarity and amazon service is very very fast ...
338,Good seller And price is also good
339,... product as per my expectation and really it was amazing deal on amazon because I tally with market price ...
340,They mentioned that the pack is for a month. ...
341,Quick delivery & fast installation in 3hrs flat.
342,Awesome product and was installed the same day in just few ours !!
343,OK
344,Must try
345,The product and installation is good till now but if in future if get any ...
346,Good One......
347,The month free trial is really excellent..
348,Ok
349,Promise not fullfilled
350,One Star
351,Four Stars
352,is laga dala toh life zingalala
353,The product is good. But also it should have recording facility like ...
354,Very good experience
355,Good
356,Best
357,Four Stars
358,so we can not enjoy the warranty of product
359,Cancelling it
360,Very good service by TataSky
361,Quite nice experience. Considering normal CFT tv
362,Defective product
363,One Star
364,Four Stars
365,Four Stars
366,Quick installation
367,Tatasky
368,Overall good experience
369,Satisfied
370,Very good service from both the seller and tatasky
371,Much recommended
372,Best
373,Booked on 31st & got on 3rd June got secret ...
374,Good
375,good
376,best price.and intime delivery.
377,Best
378,Impressed by speed of delivery and installation
379,best and awesome
380,Very good
381,Very good
382,Best
383,All work  is good
384,Nice service.
385,Amazingly cool
386,Satisfied
387,Working absolutely fine and far cheaper than local
388,Simply awesome
389,Cheaper than the TataSky website
390,Isko lga daala to life jingala
391,Nice product... economical
392,Good
393,... airtel Videocon now tata sky go with Tata sky good features with optical cable attachment and great deal with ...
394,Amazed
395,Yes
396,This retailer is wonderful. Tata Sky technician arrived is very professional
397,Service
398,Good product worth buying online
399,Price and quality
400,Three Stars
401,Good picture quality
402,Much Needed and great service
403,It is excellent. It delivered in 2days to my home town
404,Great Price.....Speed delivery and installation
405,Satisfied
406,Awesome quality
407,Best
408,ok
409,Much recommended
410,Excellent service from the seller and installation was also super ...
411,Four Stars
412,Five Stars
413,Exellent service from vender
414,Best
415,Best dth
416,good
417,very good valuable product
418,One Star
419,Timely delivery and good support
420,Five Stars
421,excellent delivery speed
422,It will be better if it has recorder
423,Four Stars
424,Nice Product
425,Best setup box
426,OK
427,Very fast
428,200 % worth Tata sky HD
429,Excellent
430,Five Stars
431,5 star
432,Four Stars
433,Very Quick
434,Good to buy Tata sky from amazon
435,Good Product
436,This offer was excellent. But I faced some problem in installation as ...
437,VERY BEST SERVICE .. FAST DELIVERY AND INSTALLATION.
438,Fully satisfied
439,Three Stars
440,Just amazing....
441,Five Stars
442,Good
443,Original Set Top box
444,Nice
445,Best Seller- I think
446,Five Stars
447,Super fast delivery n installation
448,Good
449,Four Stars
450,Five Stars
451,Five Stars
452,Five Stars
453,Nice service
454,Good product
455,Five Stars
456,Five Stars
457,Five Stars
458,Five Stars
459,Five Stars
460,Five Stars
461,Don't buy online
462,Good seller
463,Five Stars
464,Thank you amazon
465,5star
466,Five Stars
467,Nice Product
468,Mast hai bhai
469,brilliant!!
470,Quick service from Amazon and Tata sky
